areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
All Downtown,Manhattan,submarket,3200,3200,3025,3100,3100,3200,3195,3200,3400,3495,3450,3400,3365,3397,3300,3300,3395,3400,3395,3495,3625,3660,3550,3495,3450,3455,3500,3500,3587,3550,3500,3550,3650,3600,3675,3675,3550,3500,3500,3500,3500,3500,3500,3585,3650,3650,3695,3600,3630,3600,3600,3650,3650,3595,3595,3595,3650,3600,3600,3600,3600,3639,3649,3700,3750,3700,3700,3767,3795,3800,3750,3775,3700,3706,3750,3795,3800,3850,3895,3795,3795,3756,3700,3650,3650,3700,3695,3711,3790,3724,3724,3700,3653,3662,3675,3630,3650,3750,3730,3750,3825,3800,3795,3800,3804,3800,3887,3800,3850
All Midtown,Manhattan,submarket,2895,2800,2800,2850,2900,2950,3000,3000,3105,3134,3169,3171,3200,3200,3200,3200,3250,3300,3350,3300,3350,3398,3400,3375,3300,3288,3264,3350,3395,3395,3395,3400,3410,3400,3450,3450,3400,3425,3400,3395,3375,3395,3350,3395,3400,3400,3395,3400,3350,3390,3395,3400,3450,3450,3400,3400,3400,3450,3495,3500,3500,3500,3500,3500,3550,3525,3518,3506,3563,3500,3500,3500,3495,3500,3500,3550,3575,3500,3529,3500,3549,3500,3500,3500,3470,3495,3466,3500,3502,3531,3500,3500,3500,3500,3350,3350,3387,3395,3389,3450,3500,3500,3507,3500,3529,3550,3543,3583,3509
All Upper East Side,Manhattan,submarket,2469,2450,2400,2500,2550,2550,2595,2500,2595,2550,2500,2550,2500,2500,2475,2500,2600,2695,2650,2695,2795,2800,2800,2800,2700,2700,2695,2695,2695,2750,2700,2735,2825,2795,2849,2800,2795,2800,2795,2750,2750,2750,2700,2800,2850,2850,2800,2800,2700,2750,2700,2700,2700,2700,2700,2700,2750,2750,2800,2835,2850,2900,2895,2870,2950,2993,2950,2995,3025,2995,2900,2950,2995,2975,3000,3000,3000,2995,2975,2900,2950,2950,2975,3000,2975,2995,2925,2950,2950,2950,2929,2900,2995,2945,2995,2990,2920,2895,2850,2850,2850,2900,2925,2900,2895,2995,2995,3000,3000
All Upper Manhattan,Manhattan,submarket,1825,1800,1795,1800,1823,1850,1875,1850,1895,1875,1849,1850,1850,1800,1875,1895,1900,1950,1950,1976,1995,1985,1995,2000,2000,2000,2000,2000,1995,1995,2000,2050,2000,1995,2000,2000,1995,2000,2000,2000,2065,2100,2150,2154,2150,2038,2000,2000,2000,1999,2000,2095,2100,2100,2100,2150,2123,2150,2195,2195,2190,2200,2200,2200,2250,2295,2295,2300,2290,2275,2250,2250,2294,2289,2300,2375,2395,2350,2395,2400,2400,2395,2395,2390,2350,2300,2296,2325,2350,2350,2395,2395,2354,2350,2250,2295,2265,2295,2300,2350,2395,2400,2430,2400,2350,2350,2300,2300,2300
All Upper West Side,Manhattan,submarket,2895,2800,2750,2800,2798,2795,2800,2895,2995,3000,3000,2995,2995,3000,2950,3000,3000,3100,3100,3200,3250,3342,3386,3455,3300,3200,3035,3150,3200,3200,3250,3300,3300,3350,3350,3300,3200,3250,3200,3200,3250,3150,3199,3250,3275,3300,3200,3225,3200,3195,3200,3295,3299,3275,3200,3200,3295,3300,3280,3250,3290,3300,3250,3300,3350,3395,3405,3495,3550,3500,3525,3500,3450,3450,3450,3475,3495,3450,3495,3407,3480,3450,3400,3375,3300,3310,3299,3300,3350,3369,3378,3395,3395,3395,3323,3350,3350,3290,3250,3290,3300,3350,3334,3323,3400,3395,3395,3400,3419
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,1600,1650,1620,1600,1700,1700,1600,1600,1600,1700,1650,1650,1600,1600,1750,1825,1900,1900,1820,1900,1900,1900,1973,2000,2000,2038,2038,2113,2100,1990,2175,2225,2220,2138,2021,2000,2000,2000,1950,2000,2200,2100,2200,2150,2125,2100,2000,2025,2100,2100,2100,2100,2100,2100,2100,2150,2200,2200,2200,2150,2200,2200,2200,2300,2300,2297,2300,2300,2200,2200,2200,2200,2200,2200,2300,2300,2300,2300,2300,2350,2350,2300,2292,2275,2250,2200,2200,2200,2200,2250,2300,2300,2250,2190,2200,2195,2150,2117,2100,2100,2200,2200,2215,2250,2250,2200,2150,2150,2199
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,,2300,2100,1995,1995,1950,1900,1995,1995,1695,,1798,1625,1795,1850,2100,2225,2100,2048,2048,2100,2000,,1895,2195,2195,2295,2023,2195,2198,1795,1995,1600,1795,2300,2300,2300,2095,2095,1850,2098,2095,2000,1895,1995,1995,1900,2095
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,1075,1075,1188,1200,1075,1138,,,,,,,,,,,,,,,,,,,,,,1475,1638,1650,,,,2200,1725,1800,1775,1575,1450,,1700,1750,1775,1775,2000,1850,1613,1700,1700,1800,2000,2000,1898,1745,1950,2025,2175,2250,2050,2098,2000,2200,2200,1900,1900,2100,1950,1850,1950,1950,2000,1975,1950,1850,1898,2000,1848,1875,1950,2000,2023,2000,1850,1700,1675,1675,1773,1735,1688,1700
Battery Park City,Manhattan,neighborhood,3495,3346,3268,3295,3100,3395,3200,3225,3360,3415,3348,3350,3300,3150,3195,3368,3700,3693,3625,3650,3840,3850,3700,3615,3400,3500,3500,3600,3798,3905,4450,4375,4185,4050,4100,3995,3800,3500,3500,3568,3875,3995,3850,3850,3863,3995,3850,3895,3900,4013,4100,3550,3695,4650,4300,4198,4500,4063,3898,3595,3800,3950,4025,4150,4518,4630,4700,4795,4750,4750,5100,4750,4611,4600,4595,4825,4600,4675,4650,4765,4750,4250,4050,4025,4175,3995,3910,3995,4350,4393,4515,4400,4546,4695,3880,3950,4200,4100,4050,4290,4650,4525,4750,4877,4995,4900,4500,4375,4425
